name,filter,mjd_max,flux_max,flux_err_max
SN2005hk,I,53694.0,7.724694189291063e-16,4.726547581098246e-18
SN2005hk,R,53691.0,1.3080642395177057e-15,7.346276088265471e-18
SN2005hk,V,53688.0,1.8444513875761763e-15,7.224108517361699e-18
SN2005ms,V,53746.0,1.1307937546356491e-15,1.1152859677674674e-17
SN2005ms,B,53743.0,1.9325849417267347e-15,5.374502864148743e-17
SN2001cp,B,52089.0,2.0397464453629138e-15,1.5227610195347018e-17
SN2001cp,I,52086.0,3.9202758738902815e-16,4.307567376700012e-18
SN2001cp,R,52091.0,9.333154690112246e-16,1.1358529325048443e-17
SN2001cp,V,52090.0,1.309379984134727e-15,8.727680916918566e-18
SN2007ca,V,54228.0,1.671898887888145e-15,7.437435066990973e-18
SN2007ca,B,54228.0,2.128559553342074e-15,6.595425839384344e-18
SN2007ca,g,54228.0,1.9128223547385843e-15,4.704243857241586e-18
SN2007ca,i,54226.0,6.726214022146797e-16,1.557000795367205e-17
SN2007ca,r,54228.0,1.4193813315727634e-15,3.2315794997372537e-18
SN2004br,R,53151.0,1.4028185301887833e-15,1.1060982451791511e-17
SN2004br,V,53151.0,2.181214962094279e-15,2.0414910202531257e-17
SN2006cp,B,53895.0,2.47197447127475e-15,2.7589619666256077e-17
SN2006cp,V,53898.0,1.5584031897874101e-15,1.5772759822152955e-17
SN2005eq,B,53653.0,1.554357979117602e-15,1.2997597714514275e-17
SN2005eq,V,53654.0,9.730408681852598e-16,3.539018021125514e-18
SN2005eq,r,53656.0,7.590369420029578e-16,2.6355482834339704e-18
SN2008J,r,54499.0,2.4017651486971036e-15,5.601753103517059e-18
SN2008J,V,54500.0,1.6810202715381736e-15,1.0788318593570218e-17
SN2008J,i,54498.0,2.4054740169918573e-15,8.505826917294999e-18
SN2006ax,B,53827.0,5.391155567589183e-15,5.809443678882932e-17
SN2006ax,V,53828.0,3.0302221127298683e-15,7.018839735553099e-18
SN2006ax,g,53827.0,4.326726022538358e-15,1.0696794729163545e-17
SN2006ax,i,53824.0,9.346276986746115e-16,4.060643219411243e-18
SN2006ax,r,53828.0,2.22023548753292e-15,3.970726079375773e-18
SN2005mz,V,53747.0,8.154960509181155e-16,8.901559169899403e-18
SN2005mz,B,53745.0,8.797016062693728e-16,8.526214412042122e-18
SN2001ck,B,52073.0,1.2318006646420428e-15,1.749805295596369e-17
SN2001ck,V,52073.0,7.074450872707243e-16,8.214865554337229e-18
SN2008Z,r,54516.0,8.313345114609844e-16,7.961809521767536e-18
SN2008Z,V,54516.0,1.0895188017977975e-15,9.0986897180554e-18
SN2008Z,B,54514.0,1.7023833869330151e-15,2.2227789517263715e-17
SN2005hc,r,53669.0,3.191256760179195e-16,1.2358931202327404e-18
SN2005hc,g,53667.0,5.84022928466951e-16,1.9525925227612966e-18
SN2005hc,V,53669.0,3.982541189818405e-16,6.7319536473985065e-18
SN2017glx,R,58011.0,3.632960059063368e-15,2.4542045931644192e-17
SN2017glx,V,58010.0,5.389403314878228e-15,2.9562912987161514e-17
SN1998aq,B,50931.0,7.328574854248926e-14,5.410824831748766e-16
SN1998aq,V,50932.0,3.7973054078843196e-14,2.1579857791278824e-16
SN2004bv,B,53160.0,1.414822998503497e-14,1.349392859126774e-16
SN2004bv,I,53157.0,2.5551147833153e-15,1.5298346602552507e-17
SN2004bv,R,53164.0,5.867856024604789e-15,4.159440253461666e-17
SN2004bv,V,53163.0,9.182656449756314e-15,5.596762638111599e-17
SN2008fp,V,54731.0,9.653248872216742e-15,4.0083547952703015e-17
SN2008fp,g,54730.0,9.313957963144538e-15,3.096612505786798e-17
SN2008fp,r,54732.0,8.520198939880584e-15,1.0144326341642013e-16
SN2002bo,B,52355.0,1.5399867792617563e-14,6.090512751758318e-17
SN2002bo,I,52354.0,4.399235865145951e-15,2.876099671270479e-17
SN2002bo,V,52357.0,1.2314507143727443e-14,1.1107528645372888e-16
SN2007on,B,54420.0,3.7253692498002194e-14,1.271677291226519e-16
SN2007on,V,54421.0,2.3845532711602693e-14,9.922226332631998e-17
SN2007on,g,54420.0,3.126804037295144e-14,8.542974351749189e-17
SN2007on,i,54419.0,8.294968021765414e-15,3.1103174163351896e-17
SN2007on,r,54421.0,1.832416698324722e-14,6.089939346395546e-17
SN2008L,V,54494.0,1.63643538340554e-15,9.94954739428853e-17
SN2012fr,B,56243.0,9.824303460031901e-14,5.046628600426533e-16
SN2012fr,V,56245.0,5.87416876839277e-14,2.408677207391211e-16
SN2012fr,g,56244.0,7.381632142341934e-14,1.997002677175167e-15
SN2012fr,r,56246.0,4.083413586305593e-14,4.321567081997334e-16
SN2012fr,i,56240.0,1.389357253708095e-14,1.1681507293159146e-16
SN2012fr,R,56245.0,3.5246484630339145e-14,2.472626360794823e-16
SN2012fr,I,56242.0,1.22752067351181e-14,1.1873395236653828e-16
SN2017hbi,i,58079.0,4.806538879702693e-16,3.2617835655623497e-16
SN2017hbi,V,58046.0,6.741367390705368e-16,4.759787028311105e-18
SN2017hbi,I,58047.0,2.004376527991292e-16,1.775040198128692e-18
SN2017hbi,R,58046.0,4.3328464664941686e-16,3.4027490719500287e-18
